MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
118,ME: ORONO,01/01/2014 00:53:00,,1896.00,1085.00,298.00,146.00,90.00,102.00,63.00,23.00,APPROVED
118,ME: ORONO,01/01/2014 01:53:00,,1896.00,1090.00,294.00,150.00,90.00,103.00,64.00,24.00,APPROVED
118,ME: ORONO,01/01/2014 02:53:00,,1893.00,1105.00,296.00,153.00,90.00,102.00,65.00,24.00,APPROVED
118,ME: ORONO,01/01/2014 03:54:00,,1891.00,1118.00,299.00,153.00,94.00,108.00,66.00,24.00,APPROVED
118,ME: ORONO,01/01/2014 04:54:00,,1912.00,1125.00,301.00,154.00,91.00,107.00,66.00,25.00,APPROVED
118,ME: ORONO,01/01/2014 05:54:00,,1931.00,1147.00,313.00,160.00,93.00,108.00,67.00,26.00,APPROVED
118,ME: ORONO,01/01/2014 06:54:00,,1934.00,1142.00,305.00,157.00,94.00,109.00,66.00,26.00,APPROVED
118,ME: ORONO,01/01/2014 07:55:00,,1914.00,1135.00,307.00,159.00,96.00,107.00,68.00,26.00,APPROVED
118,ME: ORONO,01/01/2014 08:55:00,,1938.00,1150.00,307.00,159.00,94.00,109.00,67.00,27.00,APPROVED
118,ME: ORONO,01/01/2014 09:55:00,,1940.00,1159.00,310.00,163.00,95.00,110.00,68.00,27.00,APPROVED
118,ME: ORONO,01/01/2014 10:55:00,,1914.00,1140.00,305.00,161.00,93.00,110.00,69.00,25.00,APPROVED
118,ME: ORONO,01/01/2014 11:55:00,,1917.00,1132.00,305.00,159.00,94.00,107.00,70.00,25.00,APPROVED
118,ME: ORONO,01/01/2014 12:56:00,,1931.00,1149.00,308.00,164.00,96.00,109.00,66.00,27.00,APPROVED
118,ME: ORONO,01/01/2014 13:56:00,,1929.00,1147.00,308.00,162.00,95.00,110.00,67.00,27.00,APPROVED
118,ME: ORONO,01/01/2014 14:56:00,,1938.00,1139.00,310.00,160.00,94.00,107.00,69.00,26.00,APPROVED
