MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
107,NH: CONCORD,01/01/2017 00:15:00,,2906.00,1659.00,456.00,232.00,145.00,172.00,86.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 01:15:00,,2929.00,1669.00,467.00,230.00,149.00,173.00,86.00,34.00,APPROVED
107,NH: CONCORD,01/01/2017 02:16:00,,3017.00,1757.00,487.00,244.00,151.00,183.00,91.00,34.00,APPROVED
107,NH: CONCORD,01/01/2017 03:16:00,,2990.00,1738.00,483.00,246.00,152.00,181.00,90.00,34.00,APPROVED
107,NH: CONCORD,01/01/2017 04:16:00,,2947.00,1702.00,474.00,233.00,146.00,177.00,90.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 05:16:00,,2950.00,1712.00,478.00,239.00,149.00,177.00,90.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 06:16:00,,2951.00,1712.00,472.00,243.00,151.00,178.00,92.00,34.00,APPROVED
107,NH: CONCORD,01/01/2017 07:17:00,,2906.00,1670.00,469.00,232.00,148.00,176.00,87.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 08:17:00,,2902.00,1667.00,466.00,229.00,147.00,174.00,86.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 09:17:00,,2908.00,1660.00,471.00,232.00,149.00,175.00,88.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 10:17:00,,2904.00,1658.00,457.00,231.00,145.00,173.00,89.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 11:17:00,,2904.00,1670.00,458.00,233.00,148.00,175.00,89.00,34.00,APPROVED
107,NH: CONCORD,01/01/2017 12:18:00,,2912.00,1674.00,461.00,234.00,149.00,174.00,87.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 13:18:00,,2906.00,1673.00,465.00,232.00,147.00,176.00,89.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 14:18:00,,2873.00,1646.00,465.00,232.00,148.00,173.00,86.00,34.00,APPROVED
107,NH: CONCORD,01/01/2017 15:18:00,,2828.00,1628.00,455.00,231.00,146.00,172.00,89.00,34.00,APPROVED
107,NH: CONCORD,01/01/2017 16:18:00,,2795.00,1612.00,457.00,229.00,144.00,170.00,88.00,34.00,APPROVED
107,NH: CONCORD,01/01/2017 17:19:00,,2781.00,1599.00,448.00,222.00,143.00,168.00,87.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 18:19:00,,2794.00,1597.00,443.00,221.00,142.00,169.00,86.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 19:19:00,,2784.00,1591.00,440.00,224.00,145.00,170.00,87.00,33.00,APPROVED
107,NH: CONCORD,01/01/2017 20:19:00,,2790.00,1573.00,442.00,221.00,145.00,164.00,86.00,31.00,APPROVED
107,NH: CONCORD,01/01/2017 21:19:00,,2780.00,1589.00,439.00,218.00,145.00,166.00,85.00,32.00,APPROVED
107,NH: CONCORD,01/01/2017 22:20:00,,2830.00,1599.00,452.00,221.00,144.00,168.00,85.00,32.00,APPROVED
107,NH: CONCORD,01/01/2017 23:20:00,,2841.00,1606.00,449.00,217.00,145.00,167.00,86.00,33.00,APPROVED
107,NH: CONCORD,01/02/2017 00:20:00,,2836.00,1607.00,451.00,215.00,142.00,165.00,83.00,32.00,APPROVED
107,NH: CONCORD,01/02/2017 01:20:00,,2864.00,1615.00,450.00,223.00,143.00,166.00,86.00,33.00,APPROVED
107,NH: CONCORD,01/02/2017 02:20:00,,2882.00,1626.00,445.00,220.00,144.00,169.00,86.00,32.00,APPROVED
107,NH: CONCORD,01/02/2017 03:21:00,,2898.00,1648.00,452.00,224.00,143.00,168.00,86.00,32.00,APPROVED
107,NH: CONCORD,01/02/2017 04:21:00,,2924.00,1679.00,456.00,231.00,149.00,172.00,88.00,32.00,APPROVED
107,NH: CONCORD,01/02/2017 05:21:00,,2988.00,1736.00,474.00,243.00,153.00,181.00,88.00,33.00,APPROVED
107,NH: CONCORD,01/02/2017 06:21:00,,2983.00,1731.00,475.00,245.00,153.00,184.00,90.00,34.00,APPROVED
107,NH: CONCORD,01/02/2017 07:21:00,,3008.00,1775.00,495.00,247.00,154.00,186.00,92.00,35.00,APPROVED
107,NH: CONCORD,01/02/2017 08:22:00,,3001.00,1760.00,493.00,250.00,157.00,188.00,90.00,34.00,APPROVED
107,NH: CONCORD,01/02/2017 09:22:00,,3004.00,1762.00,490.00,251.00,157.00,187.00,90.00,34.00,APPROVED
107,NH: CONCORD,01/02/2017 10:22:00,,3042.00,1795.00,501.00,250.00,156.00,191.00,92.00,34.00,APPROVED
107,NH: CONCORD,01/02/2017 11:22:00,,3083.00,1825.00,516.00,263.00,161.00,195.00,95.00,35.00,APPROVED
107,NH: CONCORD,01/02/2017 12:22:00,,3102.00,1842.00,516.00,263.00,161.00,199.00,96.00,36.00,APPROVED
107,NH: CONCORD,01/02/2017 13:23:00,,3113.00,1878.00,527.00,275.00,161.00,204.00,95.00,36.00,APPROVED
107,NH: CONCORD,01/02/2017 14:23:00,,3096.00,1858.00,521.00,266.00,164.00,201.00,96.00,35.00,APPROVED
107,NH: CONCORD,01/02/2017 15:23:00,,3045.00,1801.00,502.00,256.00,158.00,194.00,93.00,36.00,APPROVED
107,NH: CONCORD,01/02/2017 16:23:00,,3003.00,1769.00,489.00,251.00,155.00,186.00,92.00,35.00,APPROVED
107,NH: CONCORD,01/02/2017 17:23:00,,2969.00,1755.00,484.00,253.00,156.00,187.00,93.00,33.00,APPROVED
107,NH: CONCORD,01/02/2017 18:24:00,,2919.00,1733.00,483.00,246.00,153.00,186.00,94.00,35.00,APPROVED
107,NH: CONCORD,01/02/2017 19:24:00,,2870.00,1664.00,474.00,242.00,149.00,179.00,93.00,34.00,APPROVED
107,NH: CONCORD,01/02/2017 20:24:00,,2848.00,1662.00,465.00,239.00,147.00,180.00,95.00,34.00,APPROVED
107,NH: CONCORD,01/02/2017 21:24:00,,2873.00,1669.00,467.00,238.00,150.00,178.00,92.00,36.00,APPROVED
107,NH: CONCORD,01/02/2017 22:24:00,,2897.00,1684.00,469.00,240.00,149.00,176.00,93.00,34.00,APPROVED
107,NH: CONCORD,01/02/2017 23:25:00,,2949.00,1713.00,475.00,242.00,150.00,179.00,92.00,35.00,APPROVED
107,NH: CONCORD,01/03/2017 00:25:00,,2960.00,1726.00,476.00,242.00,151.00,185.00,92.00,34.00,APPROVED
107,NH: CONCORD,01/03/2017 01:25:00,,2974.00,1734.00,473.00,246.00,152.00,183.00,92.00,33.00,APPROVED
107,NH: CONCORD,01/03/2017 02:25:00,,2966.00,1740.00,479.00,248.00,153.00,183.00,92.00,33.00,APPROVED
107,NH: CONCORD,01/03/2017 03:26:00,,2977.00,1752.00,480.00,252.00,155.00,185.00,92.00,34.00,APPROVED
107,NH: CONCORD,01/03/2017 04:26:00,,3003.00,1760.00,483.00,251.00,156.00,187.00,93.00,35.00,APPROVED
107,NH: CONCORD,01/03/2017 05:26:00,,3009.00,1774.00,491.00,256.00,154.00,188.00,94.00,34.00,APPROVED
107,NH: CONCORD,01/03/2017 06:26:00,,3013.00,1780.00,497.00,259.00,157.00,185.00,96.00,37.00,APPROVED
107,NH: CONCORD,01/03/2017 07:26:00,,2994.00,1781.00,491.00,257.00,156.00,187.00,95.00,35.00,APPROVED
107,NH: CONCORD,01/03/2017 08:27:00,,2988.00,1769.00,487.00,253.00,154.00,188.00,95.00,35.00,APPROVED
107,NH: CONCORD,01/03/2017 09:27:00,,3036.00,1801.00,496.00,259.00,158.00,188.00,95.00,35.00,APPROVED
107,NH: CONCORD,01/03/2017 10:27:00,,3019.00,1795.00,499.00,258.00,159.00,193.00,96.00,35.00,APPROVED
107,NH: CONCORD,01/03/2017 11:27:00,,2973.00,1747.00,489.00,248.00,153.00,185.00,95.00,34.00,APPROVED
107,NH: CONCORD,01/03/2017 12:27:00,,2949.00,1728.00,478.00,247.00,153.00,184.00,93.00,34.00,APPROVED
107,NH: CONCORD,01/03/2017 13:28:00,,2930.00,1704.00,472.00,242.00,153.00,181.00,93.00,34.00,APPROVED
107,NH: CONCORD,01/03/2017 14:28:00,,2927.00,1717.00,475.00,241.00,155.00,180.00,94.00,34.00,APPROVED
107,NH: CONCORD,01/03/2017 15:28:00,,2920.00,1706.00,476.00,243.00,148.00,179.00,93.00,33.00,APPROVED
107,NH: CONCORD,01/03/2017 16:28:00,,2886.00,1690.00,479.00,241.00,151.00,179.00,90.00,34.00,APPROVED
107,NH: CONCORD,01/03/2017 17:28:00,,2894.00,1686.00,474.00,236.00,150.00,181.00,91.00,35.00,APPROVED
107,NH: CONCORD,01/03/2017 18:29:00,,2891.00,1674.00,469.00,237.00,149.00,175.00,91.00,33.00,APPROVED
107,NH: CONCORD,01/03/2017 19:29:00,,2951.00,1733.00,485.00,245.00,153.00,180.00,93.00,32.00,APPROVED
107,NH: CONCORD,01/03/2017 20:29:00,,2968.00,1748.00,491.00,244.00,156.00,186.00,95.00,34.00,APPROVED
