MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
637,NM: NAVAJO LAKE,01/01/2014 00:14:00,,3438.00,2051.00,606.00,311.00,199.00,236.00,132.00,62.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 01:15:00,,3566.00,2088.00,609.00,311.00,195.00,234.00,132.00,62.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 02:15:00,,3697.00,2170.00,626.00,319.00,195.00,240.00,129.00,63.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 03:15:00,,3740.00,2201.00,623.00,318.00,199.00,239.00,131.00,64.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 04:15:00,,3773.00,2234.00,627.00,321.00,203.00,246.00,131.00,63.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 05:15:00,,3795.00,2259.00,634.00,329.00,203.00,246.00,130.00,64.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 06:16:00,,3808.00,2314.00,651.00,337.00,204.00,252.00,137.00,65.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 07:16:00,,3856.00,2379.00,673.00,350.00,211.00,262.00,141.00,67.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 08:16:00,,3943.00,2451.00,690.00,365.00,217.00,273.00,141.00,70.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 09:16:00,,4014.00,2509.00,705.00,378.00,221.00,277.00,146.00,70.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 10:16:00,,4100.00,2588.00,727.00,389.00,230.00,286.00,145.00,70.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 11:17:00,,4164.00,2622.00,736.00,392.00,226.00,288.00,150.00,71.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 12:17:00,,4159.00,2579.00,733.00,376.00,224.00,285.00,145.00,73.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 13:17:00,,4181.00,2569.00,724.00,375.00,221.00,279.00,143.00,71.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 14:17:00,,4221.00,2595.00,733.00,374.00,222.00,286.00,143.00,71.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 15:17:00,,4266.00,2594.00,735.00,378.00,221.00,281.00,141.00,69.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 16:18:00,,4221.00,2654.00,748.00,388.00,232.00,296.00,150.00,71.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 17:18:00,,4133.00,2631.00,748.00,397.00,231.00,298.00,153.00,72.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 18:18:00,,4043.00,2587.00,747.00,390.00,236.00,295.00,153.00,74.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 19:18:00,,3901.00,2519.00,743.00,388.00,231.00,298.00,157.00,71.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 20:18:00,,3655.00,2364.00,703.00,374.00,228.00,276.00,155.00,71.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 21:19:00,,3565.00,2303.00,692.00,359.00,219.00,271.00,152.00,72.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 22:19:00,,3403.00,2153.00,649.00,337.00,210.00,253.00,141.00,69.00,APPROVED
637,NM: NAVAJO LAKE,01/01/2014 23:19:00,,3340.00,2050.00,616.00,314.00,197.00,234.00,137.00,68.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 00:19:00,,3429.00,2061.00,605.00,302.00,192.00,227.00,128.00,65.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 01:19:00,,3578.00,2104.00,606.00,306.00,189.00,226.00,126.00,64.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 02:20:00,,3599.00,2101.00,601.00,298.00,191.00,230.00,126.00,64.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 03:20:00,,3595.00,2098.00,601.00,300.00,187.00,221.00,123.00,65.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 04:20:00,,3623.00,2130.00,608.00,300.00,192.00,227.00,123.00,64.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 05:20:00,,3717.00,2166.00,618.00,308.00,195.00,230.00,124.00,64.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 06:20:00,,3760.00,2185.00,619.00,305.00,197.00,235.00,121.00,65.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 07:21:00,,3808.00,2248.00,634.00,315.00,196.00,240.00,125.00,65.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 08:21:00,,3935.00,2350.00,654.00,334.00,204.00,253.00,129.00,67.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 09:21:00,,4069.00,2453.00,690.00,352.00,214.00,266.00,134.00,71.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 10:21:00,,4176.00,2564.00,719.00,362.00,221.00,278.00,138.00,70.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 11:21:00,,4229.00,2595.00,729.00,368.00,221.00,285.00,137.00,69.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 12:22:00,,4247.00,2618.00,730.00,370.00,225.00,286.00,137.00,70.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 13:22:00,,4353.00,2684.00,748.00,380.00,229.00,295.00,140.00,72.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 14:22:00,,4327.00,2681.00,756.00,378.00,226.00,296.00,139.00,71.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 15:22:00,,4357.00,2700.00,767.00,382.00,229.00,299.00,140.00,72.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 16:22:00,,4346.00,2725.00,768.00,389.00,233.00,305.00,148.00,70.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 17:23:00,,4214.00,2664.00,761.00,395.00,234.00,301.00,150.00,71.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 18:23:00,,3989.00,2546.00,737.00,385.00,228.00,290.00,150.00,70.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 19:23:00,,3753.00,2410.00,720.00,369.00,225.00,281.00,152.00,71.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 20:23:00,,3470.00,2209.00,679.00,343.00,214.00,265.00,147.00,70.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 21:23:00,,3357.00,2118.00,647.00,327.00,208.00,257.00,143.00,69.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 22:24:00,,3336.00,2086.00,637.00,327.00,208.00,253.00,141.00,67.00,APPROVED
637,NM: NAVAJO LAKE,01/02/2014 23:24:00,,3321.00,2068.00,629.00,317.00,201.00,245.00,141.00,66.00,APPROVED
637,NM: NAVAJO LAKE,01/03/2014 00:24:00,,3479.00,2122.00,629.00,318.00,197.00,243.00,135.00,66.00,APPROVED
