MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
907,OR: PORTLAND,01/01/2011 00:15:00,,2629.00,1339.00,386.00,234.00,130.00,173.00,113.00,42.00,APPROVED
907,OR: PORTLAND,01/01/2011 01:15:00,,2634.00,1344.00,387.00,232.00,127.00,173.00,113.00,41.00,APPROVED
907,OR: PORTLAND,01/01/2011 03:16:00,,2625.00,1357.00,384.00,232.00,128.00,172.00,111.00,43.00,APPROVED
907,OR: PORTLAND,01/01/2011 04:16:00,,2627.00,1342.00,380.00,236.00,129.00,170.00,113.00,43.00,APPROVED
907,OR: PORTLAND,01/01/2011 05:16:00,,2627.00,1341.00,385.00,233.00,129.00,168.00,112.00,42.00,APPROVED
907,OR: PORTLAND,01/01/2011 06:16:00,,2629.00,1349.00,377.00,236.00,131.00,178.00,114.00,43.00,APPROVED
907,OR: PORTLAND,01/01/2011 07:16:00,,2645.00,1348.00,379.00,238.00,133.00,175.00,112.00,42.00,APPROVED
907,OR: PORTLAND,01/01/2011 08:17:00,,2632.00,1347.00,375.00,238.00,130.00,174.00,110.00,43.00,APPROVED
907,OR: PORTLAND,01/01/2011 09:17:00,,2628.00,1344.00,382.00,235.00,131.00,172.00,111.00,43.00,APPROVED
907,OR: PORTLAND,01/01/2011 10:17:00,,2625.00,1349.00,377.00,238.00,131.00,169.00,112.00,42.00,APPROVED
907,OR: PORTLAND,01/01/2011 11:17:00,,2648.00,1369.00,382.00,243.00,132.00,173.00,111.00,42.00,APPROVED
907,OR: PORTLAND,01/01/2011 12:17:00,,2656.00,1373.00,380.00,241.00,133.00,173.00,114.00,44.00,APPROVED
