MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
304,VA: VIRGINIA BEACH,01/01/2011 00:54:00,,2532.00,1489.00,378.00,206.00,118.00,142.00,88.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 01:55:00,,2539.00,1491.00,374.00,205.00,119.00,142.00,87.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 02:55:00,,2531.00,1488.00,379.00,207.00,119.00,144.00,91.00,36.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 03:55:00,,2531.00,1499.00,381.00,209.00,121.00,141.00,91.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 04:55:00,,2534.00,1505.00,377.00,207.00,120.00,146.00,88.00,36.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 05:56:00,,2521.00,1494.00,376.00,205.00,120.00,145.00,89.00,36.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 06:56:00,,2522.00,1478.00,375.00,202.00,120.00,146.00,89.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 07:56:00,,2518.00,1479.00,375.00,206.00,119.00,143.00,89.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 08:56:00,,2517.00,1476.00,378.00,202.00,118.00,140.00,91.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 09:56:00,,2512.00,1473.00,376.00,205.00,119.00,142.00,88.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 10:57:00,,2511.00,1487.00,374.00,204.00,119.00,144.00,90.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 11:57:00,,2530.00,1511.00,381.00,212.00,119.00,147.00,91.00,36.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 12:57:00,,2551.00,1527.00,390.00,220.00,125.00,150.00,95.00,38.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 13:57:00,,2536.00,1525.00,384.00,217.00,124.00,150.00,93.00,36.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 14:58:00,,2530.00,1505.00,382.00,208.00,122.00,147.00,93.00,36.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 15:58:00,,2538.00,1491.00,375.00,201.00,121.00,144.00,89.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 16:58:00,,2535.00,1473.00,377.00,199.00,121.00,141.00,88.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 17:58:00,,2522.00,1482.00,375.00,199.00,118.00,141.00,90.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 18:58:00,,2536.00,1477.00,375.00,194.00,120.00,139.00,90.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 19:59:00,,2548.00,1473.00,374.00,198.00,116.00,141.00,88.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 20:59:00,,2542.00,1475.00,379.00,198.00,119.00,141.00,91.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 21:59:00,,2536.00,1480.00,375.00,197.00,120.00,139.00,91.00,33.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 22:59:00,,2567.00,1490.00,380.00,198.00,117.00,141.00,89.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/01/2011 23:59:00,,2568.00,1498.00,378.00,201.00,119.00,141.00,90.00,33.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 01:00:00,,2577.00,1503.00,382.00,197.00,121.00,141.00,92.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 02:00:00,,2569.00,1496.00,380.00,201.00,118.00,141.00,89.00,33.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 03:00:00,,2566.00,1500.00,377.00,201.00,120.00,142.00,91.00,33.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 04:00:00,,2581.00,1493.00,383.00,200.00,121.00,142.00,91.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 05:01:00,,2585.00,1501.00,380.00,202.00,122.00,142.00,93.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 06:01:00,,2596.00,1523.00,388.00,204.00,121.00,143.00,91.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 07:01:00,,2582.00,1498.00,383.00,199.00,121.00,144.00,92.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 08:01:00,,2557.00,1495.00,384.00,197.00,119.00,141.00,90.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 09:01:00,,2562.00,1488.00,380.00,201.00,118.00,142.00,92.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 10:02:00,,2578.00,1499.00,380.00,194.00,121.00,143.00,90.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 11:02:00,,2576.00,1493.00,377.00,197.00,119.00,142.00,91.00,34.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 12:02:00,,2577.00,1498.00,375.00,198.00,120.00,142.00,89.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 13:02:00,,2592.00,1528.00,384.00,204.00,120.00,145.00,93.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 14:02:00,,2587.00,1517.00,391.00,203.00,121.00,144.00,91.00,36.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 15:03:00,,2594.00,1516.00,383.00,202.00,122.00,142.00,88.00,35.00,APPROVED
304,VA: VIRGINIA BEACH,01/02/2011 16:03:00,,2597.00,1516.00,385.00,209.00,125.00,144.00,91.00,35.00,APPROVED
